Item,Quantity,Cost (CAD),Notes,Link,,,
PCB,1x,$32.63,Includes shipping and duties,JLCPCB,,Total: CAD,Total: USD
Rotary Encoder,1x,$0.00,Already owned,N/A,,$161.50,$117.56
Switches,61x,$30.35,Kailh Box White V2,https://www.aliexpress.com/item/1005008723788969.html?spm=a2g0o.productlist.0.0.7fb15661ATNCvm&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2036.39%21CAD%2030.35%21%21CAD%2030.35%21%21%21%402103201917545041377485752e4ead%2112000046402747119%21ct%21CA%216437165644%21%211%210,,,
Diodes,61x,$0.00,Already owned,N/A,,,
LEDs,61x,$13.99,SK6812mini-e,https://www.aliexpress.com/i/4000476037223.html,,,
Keycaps,"1 set, 104 keyscaps",$39.99,Shipping included,https://www.amazon.ca/dp/B0BNWWVXQ2,,,
Stabilizers,1 set,$7.99,,https://www.aliexpress.com/item/1005009141481219.html,,,
Chip (Raspberry Pi Pico),1x,$0.00,Already owned,N/A,,,
capacitors ,6x,$1.38,100nf THT,https://www.aliexpress.com/item/1005002290441861.html?spm=a2g0o.cart.0.0.248f38datGyvkZ&mp=1&pdp_npi=5%40dis%21CAD%21CAD%201.38%21CAD%201.38%21%21CAD%201.38%21%21%21%402101c59117542808099897590e61e7%2112000020462004307%21ct%21CA%216437165644%21%211%210,,,
Shipping,N/A,$7.99,ali + amazon,N/A,,,
Kalih hotswap,1 set,$14.40,,https://www.aliexpress.com/item/1005006625852715.html?spm=a2g0o.productlist.main.1.4dcb26b4PcN24e&algo_pvid=25581b06-61ca-4069-b173-402a8453f443&algo_exp_id=25581b06-61ca-4069-b173-402a8453f443-0&pdp_ext_f=%7B%22order%22%3A%22160%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%2113.68%2113.68%21%21%2169.80%2169.80%21%4021030ea417545038159263104e3a83%2112000037858496852%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=s8vPYMWCqdQR&utparam-url=scene%3Asearch%7Cquery_from%3A,,,
Usb C to A,1x,$12.78,,https://www.aliexpress.com/item/1005007994819567.html?spm=a2g0o.productlist.main.7.4ff33fcb1nHz8P&algo_pvid=74f753d9-f52d-49d0-891c-71802c7aca80&algo_exp_id=74f753d9-f52d-49d0-891c-71802c7aca80-6&pdp_ext_f=%7B%22order%22%3A%2267%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%2112.48%2112.48%21%21%2163.67%2163.67%21%402101ec1f17544508490103968e3ff6%2112000043194746134%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=OkDO6QcIinjE&utparam-url=scene%3Asearch%7Cquery_from%3A,,,
