Item,Quantity,Cost (CAD),Notes,Link,,,
PCB,1x,$32.63,Includes shipping and duties,JLCPCB,,Total: CAD,Total: USD
Rotary Encoder,1x,$2.99,,https://www.aliexpress.com/item/1005005983134515.html?spm=a2g0o.productlist.main.1.24db5f38Y1lF15&algo_pvid=af9aa107-7215-428e-b720-f4a0342078d5&algo_exp_id=af9aa107-7215-428e-b720-f4a0342078d5-0&pdp_ext_f=%7B%22order%22%3A%222212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%212.59%212.59%21%21%211.84%211.84%21%402103209b17545067419911153e19c9%2112000035172713580%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=k4jL3GPoTav5&utparam-url=scene%3Asearch%7Cquery_from%3A,,$199.26,$144.98
Switches,61x,$30.35,Kailh Box White V2,https://www.aliexpress.com/item/1005008723788969.html?spm=a2g0o.productlist.0.0.7fb15661ATNCvm&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2036.39%21CAD%2030.35%21%21CAD%2030.35%21%21%21%402103201917545041377485752e4ead%2112000046402747119%21ct%21CA%216437165644%21%211%210,,,
Diodes,61x,$10.30,might need to buy extra in case of faulty ones,https://www.amazon.ca/dp/B0CP9LXW6J,,,
LEDs,61x,$13.99,SK6812mini-e,https://www.aliexpress.com/i/4000476037223.html,,,
Keycaps,"1 set, 104 keyscaps",$39.99,,https://www.amazon.ca/dp/B0BNWWVXQ2,,,
Stabilizers,1 set,$7.99,,https://www.aliexpress.com/item/1005009141481219.html,,,
Chip (Raspberry Pi Pico),1x,$18.99,,https://www.amazon.ca/dp/B0CDLDTV19,,,
capacitors ,6x,$1.38,100nf THT,https://www.aliexpress.com/item/1005002290441861.html?spm=a2g0o.cart.0.0.248f38datGyvkZ&mp=1&pdp_npi=5%40dis%21CAD%21CAD%201.38%21CAD%201.38%21%21CAD%201.38%21%21%21%402101c59117542808099897590e61e7%2112000020462004307%21ct%21CA%216437165644%21%211%210,,,
Shipping,N/A,$10.99,ali + amazon,N/A,,,
Kalih hotswap,1 set,$12.89,set of 74,https://www.aliexpress.com/item/1005002653433091.html?spm=a2g0o.productlist.main.5.46b155f9DP4pJx&algo_pvid=ba556ca0-b9d5-448c-9c78-f40e4db617a3&algo_exp_id=ba556ca0-b9d5-448c-9c78-f40e4db617a3-4&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%2116.35%218.99%21%21%2183.42%2145.87%21%402101d9ef17545057580813612e0d0c%2112000021573005278%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=3lRsJQuxtd84&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,,,
Usb C to A,1x,$12.78,,https://www.aliexpress.com/item/1005007994819567.html?spm=a2g0o.productlist.main.7.4ff33fcb1nHz8P&algo_pvid=74f753d9-f52d-49d0-891c-71802c7aca80&algo_exp_id=74f753d9-f52d-49d0-891c-71802c7aca80-6&pdp_ext_f=%7B%22order%22%3A%2267%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%2112.48%2112.48%21%21%2163.67%2163.67%21%402101ec1f17544508490103968e3ff6%2112000043194746134%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=OkDO6QcIinjE&utparam-url=scene%3Asearch%7Cquery_from%3A,,,
Rubber pads,1 set,3.99,bought localy,Dollerramma,,,
